Energy                   ,  Average,  Err.Est. ,     RMSD, Tot-Drift
LJ (SR)                  ,  3989.08,       2.9 ,  140.841,   11.6542  (kJ/mol)
Coulomb (SR)             , -18895.3,       7.5 ,  213.069,  -9.34434  (kJ/mol)
Coul. recip.             ,  78.4026,      0.09 ,  8.26688, 0.0279189  (kJ/mol)
LJ recip.                , -1030.16,      0.55 ,  14.1429,   3.07929  (kJ/mol)
Potential                ,   -15858,       4.8 ,  124.463,   5.41713  (kJ/mol)
Coul-SR:CL-CL            , -18895.3,       7.5 ,  213.069,  -9.34434  (kJ/mol)
LJ-SR:CL-CL              ,  3989.08,       2.9 ,  140.841,   11.6542  (kJ/mol)
